group,id,course,module,grade
1,25,Art and Expression in a Post-Apocalyptic World,3,7.6
1,25,Art and Expression in a Post-Apocalyptic World,3,10.3
1,25,Art and Expression in a Post-Apocalyptic World,3,12.5
1,25,Art and Expression in a Post-Apocalyptic World,3,8.3
1,25,Art and Expression in a Post-Apocalyptic World,3,8.4
1,25,Art and Expression in a Post-Apocalyptic World,3,12.3
1,25,Art and Expression in a Post-Apocalyptic World,3,6.2
1,25,Combat Tactics and Self-Defense,2,5
1,25,Combat Tactics and Self-Defense,2,5
1,25,Combat Tactics and Self-Defense,2,2
1,25,Combat Tactics and Self-Defense,2,4
1,25,Community Building and Social Organization,1,7
1,25,Community Building and Social Organization,1,8.5
1,25,Community Building and Social Organization,1,9.5
1,25,Community Building and Social Organization,1,11
1,25,Community Building and Social Organization,1,7
1,25,Community Building and Social Organization,1,9
1,25,Community Building and Social Organization,1,8
1,25,Mechanical Engineering and Vehicle Repair,1,8
1,25,Mechanical Engineering and Vehicle Repair,1,10
1,25,Mechanical Engineering and Vehicle Repair,1,6
1,25,Mechanical Engineering and Vehicle Repair,1,11
1,25,Mechanical Engineering and Vehicle Repair,1,9
1,25,Mechanical Engineering and Vehicle Repair,1,8
1,25,Moral Philosophy and Ethical Decision-Making,1,13
1,25,Moral Philosophy and Ethical Decision-Making,1,14
1,25,Moral Philosophy and Ethical Decision-Making,1,10
1,25,Moral Philosophy and Ethical Decision-Making,1,13
1,25,Post-Apocalyptic History and Archaeology,2,10.2
1,25,Post-Apocalyptic History and Archaeology,2,10
1,25,Post-Apocalyptic History and Archaeology,2,8
1,25,Post-Apocalyptic History and Archaeology,2,9.8
1,25,Radiation Ecology and Environmental Science,1,7.6
1,25,Radiation Ecology and Environmental Science,1,11.6
1,25,Radiation Ecology and Environmental Science,1,6.8
1,25,Radiation Ecology and Environmental Science,1,8.7
1,25,Renewable Energy and Sustainable Living,1,15.5
1,25,Renewable Energy and Sustainable Living,1,8.5
1,25,Renewable Energy and Sustainable Living,1,0
1,25,Renewable Energy and Sustainable Living,1,7
1,25,Renewable Energy and Sustainable Living,1,5.5
1,25,Renewable Energy and Sustainable Living,1,5
1,25,Renewable Energy and Sustainable Living,1,9.5
1,25,Scavenging and Resource Management,2,7.5
1,25,Scavenging and Resource Management,2,5
1,25,Scavenging and Resource Management,2,8.75
1,25,Scavenging and Resource Management,2,10
1,25,Scavenging and Resource Management,2,10.25
1,25,Survival Skills and Wilderness Medicine,2,10.5
1,25,Survival Skills and Wilderness Medicine,2,11.25
1,25,Survival Skills and Wilderness Medicine,2,11.75
1,25,Survival Skills and Wilderness Medicine,2,13.75
1,25,Survival Skills and Wilderness Medicine,2,9.25
1,49,Art and Expression in a Post-Apocalyptic World,3,5.7
1,49,Art and Expression in a Post-Apocalyptic World,3,7.5
1,49,Art and Expression in a Post-Apocalyptic World,3,7.5
1,49,Art and Expression in a Post-Apocalyptic World,3,7.2
1,49,Art and Expression in a Post-Apocalyptic World,3,11.2
1,49,Art and Expression in a Post-Apocalyptic World,3,7.2
1,49,Art and Expression in a Post-Apocalyptic World,3,7
1,49,Combat Tactics and Self-Defense,2,10
1,49,Combat Tactics and Self-Defense,2,4
1,49,Combat Tactics and Self-Defense,2,3
1,49,Combat Tactics and Self-Defense,2,3
1,49,Community Building and Social Organization,1,6
1,49,Community Building and Social Organization,1,11.5
1,49,Community Building and Social Organization,1,7.5
1,49,Community Building and Social Organization,1,8
1,49,Community Building and Social Organization,1,6.5
1,49,Community Building and Social Organization,1,6.5
1,49,Community Building and Social Organization,1,9.5
